NIST 800-171,NIST 800-53,Family,Control Name,Function,Category,Workload,Table,Workload Integration,Event Reference,KQL
3.1.1,"AC-2, AC-3, AC-17",Access Control,Limit system access to authorized users,Identity,Identity & Credential Management,Entra,SigninLogs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-sign-in-log-activity-details,"// Objective: Tracks interactive user sign-in success and failure events in Entra ID,
// with conditional access evaluation, device trust, and geo-location context.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
// Leave arrays empty to return all results. Add specific values to scope.
//
let TargetUsers = dynamic([]);       // e.g., [""alice@contoso.com""]
let TargetApps = dynamic([]);        // e.g., [""Microsoft Teams""]
//
// ----- Part 1: Filter for Interactive Sign-Ins -----
//
SigninLogs
| where TimeGenerated > ago(30d)
//
// ----- Part 2: Parse Device and Location Context -----
//
| extend
    DeviceOS = tostring(parse_json(DeviceDetail).operatingSystem),
    DeviceTrust = tostring(parse_json(DeviceDetail).trustType),
    DeviceBrowser = tostring(parse_json(DeviceDetail).browser),
    LocationCity = tostring(LocationDetails.city),
    LocationCountry = tostring(LocationDetails.countryOrRegion),
    CAStatus = tostring(ConditionalAccessStatus)
//
// ----- Part 3: Enrich with Human-Readable Result -----
//
| extend ResultDescription = case(
    ResultType == 0, ""Success"",
    ResultType == 50074, ""Strong Auth Required"",
    ResultType == 50076, ""MFA Required - User did not pass"",
    ResultType == 53003, ""Blocked by Conditional Access"",
    ResultType == 50126, ""Invalid username or password"",
    ResultType == 50140, ""Keep me signed in interrupt"",
    strcat(""Error-"", tostring(ResultType))
)
//
// ----- Part 4: Apply Dynamic Filters -----
//
| where (array_length(TargetUsers) == 0 or UserPrincipalName in (TargetUsers))
| where (array_length(TargetApps) == 0 or AppDisplayName in (TargetApps))
//
// ----- Part 5: Final Output -----
//
| distinct TimeGenerated, UserPrincipalName, AppDisplayName, ResultType, ResultDescription,
           CAStatus, IPAddress, LocationCity, LocationCountry, DeviceOS, DeviceTrust,
           AuthenticationRequirement, UserType
| sort by TimeGenerated desc
| take 50"
3.1.1,"AC-2, AC-3, AC-17",Access Control,Limit system access to authorized users,Identity,Identity & Credential Management,Entra,AADNonInteractiveUserSignInLogs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-noninteractive-sign-ins,"// Objective: Tracks non-interactive (token refresh, SSO, OBO) sign-in activity in Entra ID
// to detect credential replay, stale sessions, or unauthorized token usage.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
//
let TargetUsers = dynamic([]);        // e.g., [""user1@contoso.com""]
let TargetApps = dynamic([]);         // e.g., [""Microsoft Graph""]
//
// ----- Part 1: Filter for Non-Interactive Sign-Ins -----
//
AADNonInteractiveUserSignInLogs
| where TimeGenerated > ago(30d)
//
// ----- Part 2: Parse Status Details -----
//
| extend
    StatusCode = tostring(parse_json(Status).errorCode),
    FailureReason = tostring(parse_json(Status).failureReason)
//
// ----- Part 3: Apply Dynamic Filters -----
//
| where (array_length(TargetUsers) == 0 or UserPrincipalName in (TargetUsers))
| where (array_length(TargetApps) == 0 or AppDisplayName in (TargetApps))
//
// ----- Part 4: Final Output -----
//
| distinct TimeGenerated, UserPrincipalName, AppDisplayName, ResourceDisplayName,
           ResultType, StatusCode, FailureReason, IPAddress, UserAgent
| sort by TimeGenerated desc
| take 50"
3.1.1,"AC-2, AC-3, AC-17",Access Control,Limit system access to authorized users,Identity,Identity & Credential Management,Entra,SigninLogs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-sign-in-log-activity-details#authentication-details,"// Objective: Tracks which authentication methods were used for interactive Entra ID
// sign-ins (MFA, FIDO2, passwordless, etc.) to validate credential policy compliance.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
//
let TargetUsers = dynamic([]);            // e.g., [""alice@contoso.com""]
let TargetAuthMethods = dynamic([]);      // e.g., [""Password"", ""FIDO2""]
//
// ----- Part 1: Filter and Parse Authentication Details -----
//
SigninLogs
| where TimeGenerated > ago(30d)
| mv-expand AuthenticationDetail = todynamic(AuthenticationDetails)
| extend
    AuthMethod = tostring(AuthenticationDetail.authenticationMethod),
    AuthStepRequirement = tostring(AuthenticationDetail.authenticationStepRequirement),
    AuthResult = tostring(AuthenticationDetail.succeeded)
| where AuthMethod != ""Previously satisfied""
| where isnotempty(AuthMethod)
//
// ----- Part 2: Apply Dynamic Filters -----
//
| where (array_length(TargetUsers) == 0 or UserPrincipalName in (TargetUsers))
| where (array_length(TargetAuthMethods) == 0 or AuthMethod in (TargetAuthMethods))
//
// ----- Part 3: Final Output -----
//
| summarize SigninCount = count()
    by TimeGenerated, UserPrincipalName, AppDisplayName, AuthMethod, AuthStepRequirement, AuthResult
| sort by TimeGenerated desc
| take 50"
3.1.1,"AC-2, AC-3, AC-17",Access Control,Limit system access to authorized users,Identity,Identity & Credential Management,Entra,AuditLogs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/concept-audit-logs,"// Objective: Detects user lifecycle events (creation, deletion, role/group changes, guest invites)
// in Entra ID to track who granted or revoked system access and when.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
//
let TargetOperations = dynamic([]);    // e.g., [""Add user"", ""Delete user"", ""Add member to role"", ""Remove member from role"", ""Add member to group"", ""Remove member from group"", ""Invite external user""]
let TargetInitiators = dynamic([]);    // e.g., [""admin@contoso.com""]
//
// ----- Part 1: Filter for User Lifecycle Operations -----
//
AuditLogs
| where TimeGenerated > ago(30d)
| where (array_length(TargetOperations) == 0 or OperationName has_any (TargetOperations))
//
// ----- Part 2: Extract Initiator and Target Details -----
//
| extend InitiatorInfo = todynamic(InitiatedBy)
| extend TargetInfo = todynamic(TargetResources)[0]
| extend
    InitiatorType = case(
        isnotempty(tostring(InitiatorInfo.user.userPrincipalName)), ""User"",
        isnotempty(tostring(InitiatorInfo.app.displayName)), ""Application"",
        ""Other""),
    Initiator = coalesce(
        tostring(InitiatorInfo.user.userPrincipalName),
        tostring(InitiatorInfo.app.displayName)),
    InitiatorIP = tostring(InitiatorInfo.user.ipAddress),
    TargetUPN = tostring(TargetInfo.userPrincipalName),
    TargetDisplayName = tostring(TargetInfo.displayName)
//
// ----- Part 3: Apply Dynamic Filters -----
//
| where (array_length(TargetInitiators) == 0 or Initiator in (TargetInitiators))
//
// ----- Part 4: Final Output -----
//
| distinct TimeGenerated, OperationName, InitiatorType, Initiator, InitiatorIP,
           TargetUPN, TargetDisplayName, Result, Category
| sort by TimeGenerated desc
| take 50"
3.1.1,"AC-2, AC-3, AC-17",Access Control,Limit system access to authorized users,Identity,Identity & Credential Management,Entra,SigninLogs,https://learn.microsoft.com/en-us/entra/identity/monitoring-health/howto-integrate-activity-logs-with-azure-monitor-logs,https://learn.microsoft.com/en-us/entra/identity/conditional-access/howto-conditional-access-insights-reporting,"// Objective: Evaluates Conditional Access policy enforcement per sign-in event
// to verify that access decisions (grant, block, MFA) are applied correctly.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
//
let TargetUsers = dynamic([]);       // e.g., [""alice@contoso.com""]
let TargetPolicies = dynamic([]);    // e.g., [""Require MFA - All Users""]
//
// ----- Part 1: Filter for Sign-Ins with CA Evaluation -----
//
SigninLogs
| where TimeGenerated > ago(30d)
| where ConditionalAccessPolicies != ""[]""
//
// ----- Part 2: Expand CA Policy Array -----
//
| mv-expand CAPolicy = todynamic(ConditionalAccessPolicies)
| extend
    PolicyName = tostring(CAPolicy.displayName),
    PolicyResult = tostring(CAPolicy.result),
    GrantControls = tostring(CAPolicy.enforcedGrantControls),
    SessionControls = tostring(CAPolicy.enforcedSessionControls)
//
// ----- Part 3: Apply Dynamic Filters -----
//
| where (array_length(TargetUsers) == 0 or UserPrincipalName in (TargetUsers))
| where (array_length(TargetPolicies) == 0 or PolicyName in (TargetPolicies))
//
// ----- Part 4: Final Output -----
//
| distinct TimeGenerated, UserPrincipalName, AppDisplayName, PolicyName, PolicyResult,
           GrantControls, SessionControls, ResultType, IPAddress, ConditionalAccessStatus
| sort by TimeGenerated desc
| take 50"
3.1.1,"AC-2, AC-3, AC-17",Access Control,Limit system access to authorized users,Operating Systems,Windows Infrastructure,Windows,SecurityEvent,https://learn.microsoft.com/en-us/azure/sentinel/connect-windows-security-events,https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/plan/appendix-l--events-to-monitor,"// Objective: Tracks all successful (4624) and failed (4625) user logon activity in Windows
// SecurityEvent logs with logon type classification and authentication protocol enrichment.
//
// GPO Path: Computer Configuration > Policies > Windows Settings > Security Settings >
// Advanced Audit Policy Configuration > Logon/Logoff > Audit Logon (Success, Failure)
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
//
let TargetComputers = dynamic([]);     // e.g., [""DC01.contoso.com""]
let TargetAccountSIDs = dynamic([]);   // e.g., [""S-1-5-21-...""]
//
// ----- Part 1: Filter for 4624/4625 Events -----
//
SecurityEvent
| where TimeGenerated > ago(14d)
| where EventID in (4624, 4625)
| where AccountType == ""User""
| where not(TargetUserName has_any (""$"", ""SYSTEM"", ""LOCAL SERVICE"", ""NETWORK SERVICE""))
//
// ----- Part 2: Classify Logon Type and Auth Protocol -----
//
| extend
    LogonTypeName = case(
        LogonType == 2, ""Interactive (Console)"",
        LogonType == 3, ""Network"",
        LogonType == 4, ""Batch"",
        LogonType == 5, ""Service"",
        LogonType == 7, ""Unlock"",
        LogonType == 8, ""NetworkCleartext"",
        LogonType == 9, ""NewCredentials"",
        LogonType == 10, ""RemoteInteractive (RDP)"",
        LogonType == 11, ""CachedInteractive"",
        ""Other""),
    AuthenticationProtocol = case(
        TargetUserName == ""ANONYMOUS LOGON"", ""N/A (Anonymous)"",
        AuthenticationPackageName == ""NTLM"" and LmPackageName == ""NTLM V1"", ""NTLMv1"",
        AuthenticationPackageName == ""NTLM"" and LmPackageName == ""NTLM V2"", ""NTLMv2"",
        AuthenticationPackageName == ""Kerberos"", ""Kerberos"",
        AuthenticationPackageName),
    IsAnonymous = (TargetUserName == ""ANONYMOUS LOGON"")
//
// ----- Part 3: Apply Dynamic Filters -----
//
| where (array_length(TargetComputers) == 0 or Computer in (TargetComputers))
| where (array_length(TargetAccountSIDs) == 0 or TargetUserSid in (TargetAccountSIDs))
//
// ----- Part 4: Final Output -----
//
| distinct TimeGenerated, Computer, EventID, Activity, TargetUserName, TargetUserSid,
           LogonTypeName, AuthenticationProtocol, IsAnonymous, IpAddress, WorkstationName
| sort by TimeGenerated desc
| take 50"
3.1.1,"AC-2, AC-3, AC-17",Access Control,Limit system access to authorized users,Identity,Identity & Credential Management,Sentinel,IdentityInfo,https://learn.microsoft.com/en-us/azure/sentinel/enable-entity-behavior-analytics,https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-identityinfo-table,"// Objective: Provides a point-in-time inventory of all identity objects enriched by
// Sentinel UEBA, including department, job title, risk level, and group membership.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
//
let TargetDepartments = dynamic([]);   // e.g., [""Finance"", ""IT""]
let TargetRiskLevels = dynamic([]);    // e.g., [""high"", ""medium""]
//
// ----- Part 1: Get Latest Identity Snapshot -----
//
IdentityInfo
| where TimeGenerated > ago(14d)
| summarize arg_max(TimeGenerated, *) by AccountUPN
//
// ----- Part 2: Apply Dynamic Filters -----
//
| where (array_length(TargetDepartments) == 0 or Department in (TargetDepartments))
| where (array_length(TargetRiskLevels) == 0 or RiskLevel in (TargetRiskLevels))
//
// ----- Part 3: Final Output -----
//
| project TimeGenerated, AccountUPN, AccountDisplayName, Department, JobTitle,
         Manager, City, Country, IsAccountEnabled, RiskLevel, RiskState, GroupMembership
| sort by AccountUPN asc
| take 50"
3.1.1,"AC-2, AC-3, AC-17",Access Control,Limit system access to authorized users,Identity,Privileged Identity & Credential Management,Sentinel,BehaviorAnalytics,https://learn.microsoft.com/en-us/azure/sentinel/enable-entity-behavior-analytics,https://learn.microsoft.com/en-us/azure/sentinel/ueba-reference,"// Objective: Surfaces anomalous user behavior flagged by Sentinel UEBA with
// investigation priority scoring, activity insights, and device context.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
//
let TargetUsers = dynamic([]);    // e.g., [""admin@contoso.com""]
let MinPriority = 0;              // Minimum investigation priority score
//
// ----- Part 1: Filter for Anomalous Behavior -----
//
BehaviorAnalytics
| where TimeGenerated > ago(30d)
| where InvestigationPriority > MinPriority
//
// ----- Part 2: Apply Dynamic Filters -----
//
| where (array_length(TargetUsers) == 0 or UserPrincipalName in (TargetUsers))
//
// ----- Part 3: Final Output -----
//
| distinct TimeGenerated, UserPrincipalName, ActionType, SourceDevice, SourceIPAddress,
           InvestigationPriority, ActivityInsights, UsersInsights, DevicesInsights
| sort by InvestigationPriority desc, TimeGenerated desc
| take 50"
3.1.1,"AC-2, AC-3, AC-17",Access Control,Limit system access to authorized users,Identity,Identity & Credential Management,Microsoft Defender for Identity,IdentityLogonEvents,https://learn.microsoft.com/en-us/azure/sentinel/connect-microsoft-365-defender?tabs=MDI,https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-identitylogonevents-table,"// Objective: Summarizes on-premises AD logon activity (success/failure) captured by
// Microsoft Defender for Identity sensors, with cloud service and auth protocol context.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
//
let TargetAccounts = dynamic([]);     // e.g., [""svc_account"", ""admin1""]
//
// ----- Part 1: Filter for Logon Events -----
//
IdentityLogonEvents
| where TimeGenerated > ago(30d)
| where (array_length(TargetAccounts) == 0 or AccountName in~ (TargetAccounts))
//
// ----- Part 2: Parse Additional Fields for Cloud Context -----
//
| extend AF = parse_json(AdditionalFields)
| extend
    CloudService = tostring(AF['TO.CLOUD_SERVICE']),
    PassThroughAuth = tostring(AF['Pass-through authentication'])
//
// ----- Part 3: Summarize Logon Activity -----
//
| summarize
    TotalEvents = count(),
    FailedLogons = countif(ActionType =~ ""LogonFailed""),
    SuccessfulLogons = countif(ActionType =~ ""LogonSuccess""),
    DistinctCloudServices = make_set(CloudService, 5),
    DistinctIPs = make_set(IPAddress, 5),
    LastLogonTime = arg_max(TimeGenerated, AccountUpn, Application, OSPlatform, Location, ISP)
    by AccountName, AccountDomain
//
// ----- Part 4: Final Output -----
//
| distinct AccountName, AccountDomain, AccountUpn, Application, OSPlatform, Location, ISP,
           TotalEvents, SuccessfulLogons, FailedLogons, tostring(DistinctCloudServices),
           tostring(DistinctIPs), LastLogonTime
| sort by TotalEvents desc
| take 50"
3.1.1,"AC-2, AC-3, AC-17",Access Control,Limit system access to authorized users,Identity,Identity & Credential Management,Microsoft Defender for Identity,IdentityDirectoryEvents,https://learn.microsoft.com/en-us/azure/sentinel/connect-microsoft-365-defender?tabs=MDI,https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-identitydirectoryevents-table,"// Objective: Tracks on-premises AD directory changes captured by MDI sensors including
// account lifecycle, group membership, and password events.
//
// ----- Part 0: Analyst-Driven Targeting (Optional) -----
//
let TargetAccounts = dynamic([]);     // e.g., [""admin@contoso.com""]
let TargetActions = dynamic([]);    // e.g., [""Group Membership changed"", ""Account password changed"", ""Account was disabled"", ""Account was enabled"", ""Account was created"", ""Account was deleted""]
//
// ----- Part 1: Filter for Directory Change Events -----
//
IdentityDirectoryEvents
| where Timestamp > ago(30d)
| where (array_length(TargetActions) == 0 or ActionType has_any (TargetActions))
//
// ----- Part 2: Parse Additional Fields -----
//
| extend AF = parse_json(AdditionalFields)
| extend
    TargetObject = tostring(AF['TO.OBJECT']),
    FromObject = tostring(AF['FROM.OBJECT']),
    TargetAccountUpn = tostring(AF['TARGET_OBJECT.USER'])
//
// ----- Part 3: Apply Dynamic Filters -----
//
| where (array_length(TargetAccounts) == 0 or AccountUpn in (TargetAccounts))
//
// ----- Part 4: Final Output -----
//
| distinct Timestamp, AccountUpn, AccountDisplayName, ActionType, DeviceName,
           DestinationDeviceName, TargetObject, FromObject
| sort by Timestamp desc
| take 50"
