Component,Subscription,AzureResourceType,DiagnosticLogCategory,SentinelTable,NIST_800_53,ControlName,ControlFamily,RequiredAction
Azure Firewall (Secured Hub),Connectivity,Microsoft.Network/azureFirewalls,"AzureFirewallApplicationRule,AzureFirewallNetworkRule,AzureFirewallDnsProxy,AZFWApplicationRule,AZFWNetworkRule,AZFWThreatIntel",AZFWApplicationRule;AZFWNetworkRule;AZFWThreatIntel;AZFWDnsQuery;AzureDiagnostics,AC-4,Information Flow Enforcement,Access Control,Enable Diagnostic Settings to Log Analytics workspace
Azure Firewall (Secured Hub),Connectivity,Microsoft.Network/azureFirewalls,"AzureFirewallApplicationRule,AzureFirewallNetworkRule,AZFWThreatIntel",AZFWThreatIntel;AzureDiagnostics,SI-4,Information System Monitoring,System & Information Integrity,Enable Threat Intelligence-based filtering in Alert and Deny mode
Azure Firewall (Secured Hub),Connectivity,Microsoft.Network/azureFirewalls,"AzureFirewallApplicationRule,AzureFirewallNetworkRule",AZFWApplicationRule;AZFWNetworkRule;AzureDiagnostics,AU-3,Content of Audit Records,Audit & Accountability,Enable structured logs (Resource Specific) over AzureDiagnostics
Virtual WAN,Connectivity,Microsoft.Network/virtualWans,AuditEvent,AzureDiagnostics,AC-4,Information Flow Enforcement,Access Control,Enable Diagnostic Settings for vWAN
Virtual WAN Hub,Connectivity,Microsoft.Network/virtualHubs,"RouteTable,RoutingIntent",AzureDiagnostics,AC-4,Information Flow Enforcement,Access Control,Enable Diagnostic Settings for Secured Hub
VPN Gateway,Connectivity,Microsoft.Network/vpnGateways,"GatewayDiagnosticLog,TunnelDiagnosticLog,RouteDiagnosticLog,IKEDiagnosticLog",AzureDiagnostics,AC-17,Remote Access,Access Control,Enable Diagnostic Settings for VPN Gateway
VPN Gateway,Connectivity,Microsoft.Network/vpnGateways,"GatewayDiagnosticLog,TunnelDiagnosticLog",AzureDiagnostics,SC-7,Boundary Protection,System & Communications Protection,Monitor VPN tunnel status and IKE failures
ExpressRoute Gateway,Connectivity,Microsoft.Network/expressRouteGateways,GatewayDiagnosticLog,AzureDiagnostics,SC-7,Boundary Protection,System & Communications Protection,Enable Diagnostic Settings for ExpressRoute
ExpressRoute Circuit (SCP-C),Connectivity,Microsoft.Network/expressRouteCircuits,"PeeringRouteLog,BGPSessionDiagnosticLog",AzureDiagnostics,SC-7,Boundary Protection,System & Communications Protection,Enable BGP and Peering diagnostics
Key Vault,Connectivity,Microsoft.KeyVault/vaults,AuditEvent,AzureDiagnostics;KeyVaultDiagnostics,AC-6,Least Privilege,Access Control,Enable Diagnostic Settings and configure RBAC access policies
